k,task,size_class,parent_iso_key,motif_position,part_idx,n_topo_in_size,n_topo_with_motif_in_size,presence_designs_top_01,presence_designs_top_05,presence_designs_top_10,presence_designs_top_25,presence_designs_bot_01,presence_designs_bot_05,presence_designs_bot_10,presence_designs_bot_25
5,circuit,6,0000000000000010010011000,0,13,63,6,1077,93500,0,984012,91690,373673,0,1821327
5,circuit,6,0000000000000010010011000,0,15,63,6,19617,85396,0,698775,63270,290881,0,1281418
5,circuit,6,0000000000000010010011000,0,17,63,6,3,40850,0,482410,17014,119389,0,702140
5,circuit,6,0000000000000010010011000,0,18,63,6,0,38127,0,476179,18148,136413,0,721871
5,circuit,6,0000000000000010010011000,0,19,63,6,6296,62571,0,483226,18763,114853,0,702184
5,circuit,6,0000000000000010010011000,1,1,63,6,22844,84836,0,838710,8535,135067,0,1463470
5,circuit,6,0000000000000010010011000,1,2,63,6,22204,95087,0,958513,76571,393654,0,1580628
5,circuit,6,0000000000000010010011000,1,3,63,6,7755,35373,0,337750,11159,198980,0,1027831
5,circuit,6,0000000000000010010011000,1,4,63,6,8248,46145,0,445236,32147,146779,0,1006556
5,circuit,6,0000000000000010010011000,1,5,63,6,8032,45023,0,431625,27820,141998,0,976253
5,circuit,6,0000000000000010010011000,1,7,63,6,28328,88440,0,957985,39857,299879,0,1440412
5,circuit,6,0000000000000010010011000,1,13,63,6,24998,94380,0,925741,81069,410907,0,1788165
5,circuit,6,0000000000000010010011000,1,15,63,6,14101,59108,0,641895,69945,320967,0,1253699
5,circuit,6,0000000000000010010011000,1,17,63,6,11759,39909,0,448015,16764,131394,0,708912
5,circuit,6,0000000000000010010011000,1,18,63,6,11813,39300,0,432949,21171,152030,0,709484
5,circuit,6,0000000000000010010011000,2,11,63,6,4218,42676,0,544008,29872,182388,0,854710
5,circuit,6,0000000000000010010011000,2,12,63,6,3893,37920,0,541044,32021,187227,0,862022
5,circuit,6,0000000000000010010011000,2,14,63,6,12594,55477,0,615857,53349,277637,0,1132611
5,circuit,6,0000000000000010010011000,2,15,63,6,5311,34343,0,533125,72670,329531,0,1252066
5,circuit,6,0000000000000010010011000,3,0,63,6,36943,125636,0,847417,54597,279245,0,1319165
5,circuit,6,0000000000000010010011000,3,3,63,6,7134,26104,0,323069,57789,239001,0,1059113
5,circuit,6,0000000000000010010011000,3,11,63,6,4068,41791,0,607831,22916,133730,0,684687
5,circuit,6,0000000000000010010011000,3,12,63,6,4083,40870,0,603104,25755,137964,0,672286
5,circuit,6,0000000000000010010011000,3,14,63,6,13127,60963,0,670687,45241,218811,0,945511
5,circuit,6,0000000000000010010011000,3,15,63,6,13089,58306,0,651594,44306,209881,0,904780
5,circuit,6,0000000000000010010011000,4,4,63,6,0,6620,0,691040,30105,202465,0,809183
5,circuit,6,0000000000000010010011000,4,7,63,6,17021,120646,0,1166096,21409,194626,0,1215325
5,circuit,6,0000000000000010010011000,4,13,63,6,79326,203976,0,1045669,7658,147857,0,1171820
5,circuit,6,0000000000000010010011000,4,14,63,6,15638,91661,0,744733,30118,181778,0,940446
