task,fp_key,depth_to_output,depth_from_input,in_degree,out_degree,predecessor_depth_signature,successor_depth_signature,node_type,part_idx,part_name,top_count,bot_count,log_odds,n_topologies,n_targets,total_designs
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,2,BetI/E1,5533,2511,1.1394861797183273,2,4,8044
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,3,BM3R1/B1,349,3569,-3.350497247084133,2,4,3918
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,4,BM3R1/B2,3421,2280,0.5851733131772759,2,4,5701
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,5,BM3R1/B3,3113,1177,1.4024294052485762,2,4,4290
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,6,HlyIIR/H1,0,5692,-12.474973384391147,2,4,5692
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,7,IcaRA/I1,3412,1540,1.1471735525840803,2,4,4952
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,8,LitR/L1,0,5211,-12.347621368568134,2,4,5211
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,9,LmrA/N1,0,3160,-11.6261653199045,2,4,3160
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,10,PhlF/P1,0,4693,-12.196602126523171,2,4,4693
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,11,PhlF/P2,4764,959,2.3113699031887855,2,4,5723
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,12,PhlF/P3,4563,1161,1.9736887228841529,2,4,5724
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,13,PsrA/R1,4105,3195,0.3614662191806252,2,4,7300
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,14,QacR/Q1,4515,1367,1.7229772558871033,2,4,5882
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,15,QacR/Q2,3309,2482,0.414746955517739,2,4,5791
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,16,SrpR/S1,0,4696,-12.197523878257787,2,4,4696
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,17,SrpR/S2,2299,621,1.8866473757011353,2,4,2920
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,18,SrpR/S3,2126,1151,0.88467931651836,2,4,3277
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,19,SrpR/S4,2969,519,2.5138794026596742,2,4,3488
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,0,AmeR/F1,421178,414883,0.02172548457734058,21,15,836061
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,1,AmtR/A1,855937,304674,1.4902351735283863,21,15,1160611
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,2,BetI/E1,887111,492963,0.8476339658770593,21,15,1380074
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,3,BM3R1/B1,247429,290733,-0.23267936535100223,21,15,538162
